meta_data,network_offer_id
NULL,NULL
"{hitpath_ids"": [11714]}""",3090
"{hitpath_ids"": [6182]}""",13
"{hitpath_ids"": [11612]}""",3090
"{hitpath_ids"": [11468]}""",23683
"{hitpath_ids"": [9088]}""",18877
"{hitpath_ids"": [8838]}""",22333
"{hitpath_ids"": [6322]}""",110
"{hitpath_ids"": [7878]}""",31729
"{hitpath_ids"": [8795,11027,11028, 11029]}""",926
"{hitpath_ids"": [11890]}""",Milestone Mastercard - SMS
"{hitpath_ids"": [11928]}""",3070
"{hitpath_ids"": [12048]}""",Email Hitpath ID: 8545
"{hitpath_ids"": [12068]}""",1133
"{hitpath_ids"": [12066]}""",Email Hitpath ID: 11914
"{hitpath_ids"": [12076]}""",5063
"{hitpath_ids"": [12089]}""",5066
"{hitpath_ids"": [12088]}""",5067
"{hitpath_ids"": [12125]}""",12
"{hitpath_ids"": [12115]}""",1516
"{hitpath_ids"": [12111]}""",1775
"{hitpath_ids"": [12110]}""",1776
"{hitpath_ids"": [12113]}""",NULL
"{hitpath_ids"": [12152]}""",1178
"{hitpath_ids"": [12149]}""",2
"{hitpath_ids"": [12163]}""",12163
"{hitpath_ids"": [12176]}""",12176
"{hitpath_ids"": [12178]}""",3331
"{hitpath_ids"": [12109]}""",1852
"{hitpath_ids"": [12112]}""",1601
"{hitpath_ids"": [12165]}""",7100
"{hitpath_ids"": [12181]}""",30140
"{hitpath_ids"": [12182]}""",30128
"{hitpath_ids"": [12183]}""",29713
"{hitpath_ids"": [12184]}""",30010
"{hitpath_ids"": [12185]}""",1687
"{hitpath_ids"": [12207]}""",Email offer - 5303
"{hitpath_ids"": [12215]}""",7310
"{hitpath_ids"": [12223]}""",12223
"{hitpath_ids"": [12224]}""",12224
"{hitpath_ids"": [12235]}""",7289
"{hitpath_ids"": [12231]}""",728
"{hitpath_ids"": [12225]}""",743
"{hitpath_ids"": [12248]}""",1054
"{hitpath_ids"": [12252]}""",Email offer - 5716
"{hitpath_ids"": [12233]}""",2188
"{hitpath_ids"": [12306]}""",243
"{hitpath_ids"": [12305]}""",286
"{hitpath_ids"": [12304]}""",8
"{hitpath_ids"": [12325]}""",8588
"{hitpath_ids"": [12337]}""",29845
"{hitpath_ids"": [12326]}""",NULL
"{hitpath_ids"": [12342]}""",316
"{hitpath_ids"": [12363]}""",738
"{hitpath_ids"": [12371]}""",376
"{hitpath_ids"": [12373]}""",NULL
"{hitpath_ids"": [12374]}""",2762
"{hitpath_ids"": [12378]}""",31456
"{hitpath_ids"": [12086]}""",1669
"{hitpath_ids"": [12384]}""",316
"{hitpath_ids"": [12385]}""",243
"{hitpath_ids"": [12386]}""",286
"{hitpath_ids"": [12413]}""",6409
"{hitpath_ids"": [5872]}""",59
"{hitpath_ids"": [12437]}""",30165
"{hitpath_ids"": [12441]}""",7261
"{hitpath_ids"": [12454]}""",29368
"{hitpath_ids"": [12456]}""",620 (SMS- Email Offer)
"{hitpath_ids"": [12453]}""",6740
"{hitpath_ids"": [8144]}""",189
"{hitpath_ids"": [12460]}""",3037
"{hitpath_ids"": [12494]}""",12494
"{hitpath_ids"": [12495]}""",30527
"{hitpath_ids"": [12500]}""",1931
"{hitpath_ids"": [12506]}""",72501
"{hitpath_ids"": [12505]}""",74437
"{hitpath_ids"": [12510]}""",7272
"{hitpath_ids"": [12514]}""",10685
"{hitpath_ids"": [11600]}""",4722
"{hitpath_ids"": [11544]}""",1729
"{hitpath_ids"": [5724]}""",10448
"{hitpath_ids"": [11793]}""",1651
"{hitpath_ids"": [6763]}""",5
"{hitpath_ids"": [6444]}""",9712
"{hitpath_ids"": [11694]}""",190
"{hitpath_ids"": [11593]}""",5851
"{hitpath_ids"": [11931]}""",74129
"{hitpath_ids"": [11225]}""",1663
"{hitpath_ids"": [12119]}""",1787
"{hitpath_ids"": [12145]}""",4651
"{hitpath_ids"": [11672]}""",11672
"{hitpath_ids"": [11847]}""",11847
"{hitpath_ids"": [11646]}""",4447
NULL,1804
"{hitpath_ids"": [12066]}""",11914 - SMS - Email Offer
